name,internet,reg_internet
"IFB Industries Ltd",http://www.ifbindustries.com,www.cbmsl.com
"Indian Hotels Co Ltd",http://www.tajhotels.com,www.linkintime.co.in
"Indian Hume Pipe Company Ltd",http://www.indianhumepipe.com,www.linkintime.co.in
"Linde India Ltd",http://www.linde.in,"                                                                                                                                                                                                                                                          "
"BLB Ltd",http://www.blblimited.com,"www.abhipra.com                                   "
"Singer India Ltd",http://www.singerindia.net,www.mcsdel.com
"Gillette India Ltd",http://www.gillette.co.in,www.masserv.com
"Indo Gulf Industries Ltd",http://www.indogulfind.com,"www.beetalfinancial.com                                                                                                                                                                                                                                   "
"Panasonic Carbon India Company Ltd",http://www.panasoniccarbon.in,www.cameoindia.com
"Castrol India Ltd",http://www.castrol.co.in,www.linkintime.co.in
"Filtra Consultants & Engineers Ltd",http://www.filtra.in,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Athena Constructions Ltd",constructions.athenaindia.co.in,www.purvashare.com
"Ingersoll-Rand (India) Ltd",http://www.irco.com,www.tsrdarashaw.com
"International Combustion (India) Ltd",http://www.internationalcombustion.in,www.cbmsl.com
"Tata Investment Corporation Ltd",http://www.tatainvestment.com,www.tsrdarashaw.com
"Ion Exchange (India) Ltd",http://www.ionindia.com,www.tsrdarashaw.com
"Tata Steel Long Products Ltd",http://www.tatasteellp.com,www.tsrdarashaw.com
"ITC Ltd",http://www.itcportal.com,www.itcportal.com
"IVP Ltd",http://www.ivpindia.com,www.linkintime.co.in
"J B Chemicals & Pharmaceuticals Ltd",http://www.jbpharma.com,"www.dfssl.com                                                                                                                                                                                                                                             "
"JK Tyre & Industries Ltd",http://www.jktyre.com,"www.alankit.com                                                                                                                                                                                                                                           "
"Jaykay Enterprises Ltd",http://www.jaykayenterprises.com,NULL
"JCT Ltd",http://www.jct.co.in,"                                                                                                                                                                                                                                                          "
"Jagatjit Industries Ltd",http://www.jagatjit.com,www.jagatjit.com
"UR Sugar Industries Ltd",http://www.hkglimited.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Infibeam Avenues Ltd",http://www.ia.ooo,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"Jay Shree Tea & Industries Ltd",http://www.jayshreetea.com,"www.mdpl.in                                                                                                                                                                                                                                               "
"Jyoti Ltd",http://www.jyoti.com,"www.mcsdel.com                                                                                                                                                                                                                                            "
"K C P Ltd",http://www.kcp.co.in,"www.integratedindia.in                                                                                                                                                                                                                                    "
"Jiya Eco-Products Ltd",http://www.jiyaeco.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Kirloskar Pneumatic Company Ltd",http://www.kirloskarpneumatic.com,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"Gala Global Products Ltd",http://www.galaglobalhub.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"SBI Nifty Next 50",http://www.sbimf.com,"www.camsonline.com                                                                                                                                                                                                                                        "
"SBI ETF Nifty Bank",http://www.sbimf.com,"www.camsonline.com                                                                                                                                                                                                                                        "
"Kalyani Steels Ltd",http://www.kalyanisteels.com,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"SBI ETF BSE 100",NULL,www.camsonline.com
"Franklin Leasing & Finance Ltd",http://www.franklinleasing.in,"www.skylinerta.com                                                                                                                                                                                                                                        "
"Keltech Energies Ltd",http://www.keltechenergies.com,www.canbankrta.com
"Kaycee Industries Ltd",http://www.kayceeindustries.com,www.dfssl.com
"Whirlpool of India Ltd",http://www.whirlpoolindia.com,www.linkintime.co.in
"Kesoram Industries Ltd",http://www.kesocorp.com,"www.mcsregistrars.com                                                                                                                                                                                                                                     "
"Tejnaksh Healthcare Ltd",http://www.tejnaksh.com,www.cameoindia.com
"Indokem Ltd",http://www.indokem.co.in,"www.sharexindia.com                                                                                                                                                                                                                                       "
"Shaival Reality Ltd",http://www.shaivalgroup.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Kinetic Engineering Ltd",http://www.kineticindia.com,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"Kirloskar Brothers Ltd",http://www.kirloskarpumps.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Cummins India Ltd",http://www.cumminsindia.com,www.linkintime.co.in
"Kothari Industrial Corporation Ltd",http://www.kicl.in,"www.integratedindia.in                                                                                                                                                                                                                                    "
"Kothari Sugars & Chemicals Ltd",http://www.hckotharigroup.com,www.cameoindia.com
"KSB Ltd",http://www.ksb.com/en-in,www.linkintime.co.in
"InfoBeans Technologies Ltd",http://www.infobeans.com,www.linkintime.co.in
"Panasonic Energy India Company Ltd",http://www.panasonicenergyindia.in,www.linkintime.co.in
"Trent Ltd",http://www.trentlimited.com,www.tsrdarashaw.com
"Lakshmi Machine Works Ltd",http://www.lmwglobal.com,"www.skdc-consultants.com                                                                                                                                                                                                                                  "
"Lakshmi Precision Screws Ltd",http://www.lpsindia.com,"www.mcsregistrars.com                                                                                                                                                                                                                                     "
"Larsen & Toubro Ltd",http://www.larsentoubro.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"M M Rubber Co Ltd",http://www.mmfoam.com,www.cameoindia.com
"G-Tech Info Training Ltd",http://www.gtechinfoltd.com,www.adriotcorporate.com
"Manugraph India Ltd",http://www.manugraph.com,www.linkintime.co.in
"The Ramco Cements Ltd",http://www.ramcocements.in,NULL
"Fine Organic Industries Ltd",http://www.fineorganics.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Mafatlal Industries Ltd",http://www.mafatlals.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Maharashtra Scooters Ltd",http://www.mahascooters.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Mahindra & Mahindra Ltd",http://www.mahindra.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Makers Laboratories Ltd",http://www.makerslabs.com,www.linkintime.co.in
"Mangalam Cement Ltd",http://www.mangalamcement.com,www.masserv.com
"Mangalore Chemicals & Fertilizers Ltd",http://www.mangalorechemicals.com,www.cameoindia.com
"MPIL Corporation Ltd",http://www.mpilcorporation.com,www.linkintime.co.in
"Max Financial Services Ltd",http://www.maxfinancialservices.com,www.masserv.com
"Blueblood Ventures Ltd",http://www.bluebloodventure.com,"www.skylinerta.com                                                                                                                                                                                                                                        "
"Waaree Technologies Ltd",https://waareertl.com/,"www.sharexindia.com                                                                                                                                                                                                                                       "
"Bosch Ltd",http://www.bosch.in,www.integratedindia.in
"Pecos Hotels & Pubs Ltd",http://www.pecospub.com,www.linkintime.co.in
"Garment Mantra Lifestyle Ltd",http://www.garmentmantra.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
